34	गई	VAUX	<fs af='जा,v,f,sg,3,,या१,yA1' posn='340' drel='lwg__vaux:दी2' chunkType='child:VGF2' name='गई'>
35	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' posn='350' drel='lwg__vaux:दी2' chunkType='child:VGF2' name='है'>
36	.	SYM	<fs af='.,punc,,,,,,' drel='rsym:बल्कि' posn='360' name='.' chunkId='BLK' chunkType='head:BLK'>
</Sentence>


<Sentence id="2">
1	शिक्षा	NNPC	<fs af='शिक्षा,n,f,sg,3,d,0,0' posn='10' drel='pof__cn:मंत्रालय' chunkType='child:NP' name='शिक्षा'>
2	मंत्रालय	NNP	<fs af='मंत्रालय,n,m,sg,3,d,0,0' drel='k1:कर' posn='20' name='मंत्रालय' chunkId='NP' chunkType='head:NP'>
3	इन	DEM	<fs af='यह,pn,any,pl,3,o,,' posn='30' drel='nmod__adj:शब्दों' chunkType='child:NP2' name='इन'>
4	शब्दों	NN	<fs af='शब्द,n,m,pl,3,o,0_का,0' drel='r6:महत्ता' posn='40' vpos='vib_3' name='शब्दों' chunkId='NP2' chunkType='head:NP2'>
5	की	PSP	<fs af='का,psp,f,sg,,o,,' posn='50' drel='lwg__psp:शब्दों' chunkType='child:NP2' name='की'>
6	'1	SYM	<fs af='1,punc,,,,,,' 1' posn='60' drel='rsym:महत्ता' chunkType='child:NP3' name=''>
7	महत्ता	NN	<fs af='महत्ता,n,f,sg,3,o,0_का,0' drel='r6-k2:पुष्टि' posn='70' vpos='vib_4' name='महत्ता' chunkId='NP3' chunkType='head:NP3'>
8	'2	SYM	<fs af='2,punc,,,,,,' 2' posn='80' drel='rsym:महत्ता' chunkType='child:NP3' name=''>
9	की	PSP	<fs af='का,psp,f,sg,,d,,' posn='90' drel='lwg__psp:महत्ता' chunkType='child:NP3' name='की2'>
10	पुष्टि	NN	<fs af='पुष्टि,n,f,sg,3,d,0,0' drel='pof:कर' posn='100' name='पुष्टि' chunkId='NP4' chunkType='head:NP4'>
11	कर	VM	<fs af='कर,v,any,sg,3,,0_चुक+या_है,0' stype='declarative' posn='110' voicetype='active' vpos='tam_2_3' name='कर' chunkId='VGF' chunkType='head:VGF'>
12	चुका	VAUX	<fs af='चुक,v,any,any,any,,या,yA' posn='120' drel='lwg__vaux:कर' chunkType='child:VGF' name='चुका'>
13	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' posn='130' drel='lwg__vaux:कर' chunkType='child:VGF' name='है'>
14	.	SYM	<fs af='.,punc,,,,,,' drel='rsym:कर' posn='140' name='.' chunkId='BLK' chunkType='head:BLK'>
</Sentence>


<Sentence id="3">
1	पाकिस्तानी	JJ	<fs af='पाकिस्तानी,adj,any,any,,o,,' posn='10' drel='nmod__adj:साप्ताहिक' chunkType='child:NP' name='पाकिस्तानी' cref='i13%0:t4'>
2	साप्ताहिक	NN	<fs af='साप्ताहिक,n,m,sg,3,o,0,0' drel='nmod:टाइम्स' posn='20' name='साप्ताहिक' chunkId='NP' chunkType='head:NP' cref='i13%1:t4' crefHead='साप्ताहिक:i13' crefType='part-of:i13'>
3	'1	SYM	<fs af=',punc,,,,,,' 1' posn='30' drel='rsym:टाइम्स' chunkType='child:NP2' name=''>
4	द	NNPC	<fs af='द,avy,,,,,,' posn='60' drel='pof__cn:टाइम्स' chunkType='child:NP2' name='द' cref='i14%0:t4'>
5	फ्राइडे	NNPC	<fs af='फ्राइडे,n,m,sg,3,d,0,0' posn='20' drel='pof__cn:टाइम्स' chunkType='child:NP2' name='फ्राइडे' cref='i14%0:t4'>
6	टाइम्स	NNP	<fs af='टाइम्स,n,m,sg,3,o,0_में,0' drel='jjmod:प्रकाशित' posn='20' vpos='vib_6' name='टाइम्स' chunkId='NP2' chunkType='head:NP2' cref='i14%1:t4' crefHead='टाइम्स:i14' crefType='part-of:i13'>
7	'2	SYM	<fs af=',punc,,,,,,' 2' posn='70' drel='rsym:टाइम्स' chunkType='child:NP2' name=''>
8	में	PSP	<fs af='में,psp,,,,,,' posn='80' drel='lwg__psp:टाइम्स' chunkType='child:NP2' name='में'>
9	प्रकाशित	JJ	<fs af='प्रकाशित,adj,any,any,,o,,' drel='nmod:लेख' posn='90' name='प्रकाशित' chunkId='JJP' chunkType='head:JJP'>
10	एक	QC	<fs af='एक,num,any,any,,any,,' posn='100' drel='nmod__adj:लेख' chunkType='child:NP3' name='एक'>
11	लेख	NN	<fs af='लेख,n,m,sg,3,o,0_में,0' drel='k7:कहा' posn='110' vpos='vib_3' name='लेख' chunkId='NP3' chunkType='head:NP3'>
12	में	PSP	<fs af='में,psp,,,,,,' posn='120' drel='lwg__psp:लेख' chunkType='child:NP3' name='में2'>
13	कहा	VM	<fs af='कह,v,m,sg,3,,या_जा+या१_है,yA' stype='declarative' posn='130' voicetype='passive' vpos='tam_2_3' name='कहा' chunkId='VGF' chunkType='head:VGF'>
14	गया	VAUX	<fs af='जा,v,m,sg,3,,या१,yA1' posn='140' drel='lwg__vaux:कहा' chunkType='child:VGF' name='गया'>
15	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' posn='150' drel='lwg__vaux:कहा' chunkType='child:VGF' name='है'>
16	कि	CC	<fs af='कि,avy,,,,,,' drel='k2:कहा' posn='160' name='कि' chunkId='CCP' chunkType='head:CCP'>
17	प्राइमरी	NNC	<fs af='प्राइमरी,adj,any,any,,o,,' posn='170' drel='pof__cn:शिक्षा' chunkType='child:NP4' name='प्राइमरी'>
18	शिक्षा	NN	<fs af='शिक्षा,n,f,sg,3,o,0_के_तहत,0' drel='k7a:दिया' posn='180' vpos='vib_3_4' name='शिक्षा' chunkId='NP4' chunkType='head:NP4'>
19	के	PSP	<fs af='के,psp,,,,,,' posn='190' drel='lwg__psp:शिक्षा' chunkType='child:NP4' name='के'>
20	तहत	PSP	<fs af='तहत,psp,,,,,,' posn='200' drel='lwg__psp:शिक्षा' chunkType='child:NP4' name='तहत'>
21	कक्षा	NN	<fs af='कक्षा,n,f,sg,3,d,0,0' drel='nmod:एक2' posn='210' name='कक्षा' chunkId='NP5' chunkType='head:NP5'>
22	एक	NNP	<fs af='एक,n,m,sg,3,o,0_से,0' drel='rsp:पांच' posn='220' vpos='vib_2' name='एक2' chunkId='NP6' chunkType='head:NP6'>
23	से	PSP	<fs af='से,psp,,,,,,' posn='230' drel='lwg__psp:एक2' chunkType='child:NP6' name='से'>
24	पांच	NNP	<fs af='पांच,n,m,sg,3,o,0_तक_के_लिए,0' drel='rt:किए' posn='220' vpos='vib_2_3_4' name='पांच' chunkId='NP7' chunkType='head:NP7'>
25	तक	PSP	<fs af='तक,psp,,,,,,' posn='250' drel='lwg__psp:पांच' chunkType='child:NP7' name='तक'>
26	के	PSP	<fs af='के,psp,,,,,,' posn='260' drel='lwg__psp:पांच' chunkType='child:NP7' name='के2'>
27	लिए	PSP	<fs af='लिए,psp,,,,,,' posn='270' drel='lwg__psp:पांच' chunkType='child:NP7' name='लिए'>
28	सरकार	NN	<fs af='सरकार,n,f,sg,3,o,0_द्वारा,0' drel='k1:किए' posn='280' vpos='vib_2' name='सरकार' chunkId='NP8' chunkType='head:NP8'>
29	द्वारा	PSP	<fs af='द्वारा,psp,,,,,,' posn='290' drel='lwg__psp:सरकार' chunkType='child:NP8' name='द्वारा'>
30	तैयार	JJ	<fs af='तैयार,adj,any,any,,,,' drel='pof:किए' posn='300' name='तैयार' chunkId='JJP2' chunkType='head:JJP2'>
31	किए	VM	<fs af='कर,v,m,pl,any,,या_जा+या१,yA' drel='nmod__k2inv:पाठ्यक्रम' posn='310' vpos='tam_2' name='किए' chunkId='VGNF' chunkType='head:VGNF'>
32	गए	VAUX	<fs af='जा,v,m,pl,any,,या१,yA1' posn='320' drel='lwg__vaux:किए' chunkType='child:VGNF' name='गए'>
33	पाठ्यक्रम	NN	<fs af='पाठ्यक्रम,n,m,sg,3,o,0_में,0' drel='k7p:दिया' posn='330' vpos='vib_2' name='पाठ्यक्रम' chunkId='NP9' chunkType='head:NP9'>
34	में	PSP	<fs af='में,psp,,,,,,' posn='340' drel='lwg__psp:पाठ्यक्रम' chunkType='child:NP9' name='में3'>
35	सरल	JJ	<fs af='सरल,adj,any,any,,o,,' drel='ccof:और' posn='350' name='सरल' chunkId='JJP3' chunkType='head:JJP3'>
36	और	CC	<fs af='और,avy,,,,,,' drel='nmod:कहानियों' posn='360' name='और' chunkId='CCP2' chunkType='head:CCP2'>
37	सुबोध	JJ	<fs af='सुबोध,adj,any,any,,o,,' drel='ccof:और' posn='370' name='सुबोध' chunkId='JJP4' chunkType='head:JJP4'>
38	कहानियों	NN	<fs af='कहानी,n,f,pl,3,o,0_के_जरिये,0' drel='k3:दिया' posn='380' vpos='vib_2_3' name='कहानियों' chunkId='NP10' chunkType='head:NP10'>
39	के	PSP	<fs af='के,psp,,,,,,' posn='390' drel='lwg__psp:कहानियों' chunkType='child:NP10' name='के3'>
40	जरिये	PSP	<fs af='जरिये,psp,,,,,,' posn='400' drel='lwg__psp:कहानियों' chunkType='child:NP10' name='जरिये'>
41	बच्चों	NN	<fs af='बच्चा,n,m,pl,3,o,0_को,0' drel='k4:बताने' posn='410' vpos='vib_2' name='बच्चों' chunkId='NP11' chunkType='head:NP11'>
42	को	PSP	<fs af='को,psp,,,,,,' posn='420' drel='lwg__psp:बच्चों' chunkType='child:NP11' name='को'>
43	जिहाद	NN	<fs af='जिहाद,n,f,sg,3,o,0_का,0' drel='r6:जरूरत' posn='430' vpos='vib_2' name='जिहाद' chunkId='NP12' chunkType='head:NP12' cref='i4%1:t2' crefHead='जिहाद:i4' crefType='part-of:i3'>
44	की	PSP	<fs af='का,psp,f,sg,,d,,' posn='440' drel='lwg__psp:जिहाद' chunkType='child:NP12' name='की'>
45	जरूरत	NN	<fs af='जरूरत,n,f,sg,3,d,0,0' drel='k2:बताने' posn='450' name='जरूरत' chunkId='NP13' chunkType='head:NP13'>
46	बताने	VM	<fs af='बता,v,any,any,any,o,ना_पर,nA' drel='k2:दिया' posn='460' vpos='tam_2' name='बताने' chunkId='VGNN' chunkType='head:VGNN'>
47	पर	PSP	<fs af='पर,psp,,,,,,' posn='470' drel='lwg__psp:बताने' chunkType='child:VGNN' name='पर'>
48	बल	NN	<fs af='बल,n,m,sg,3,d,0,0' drel='pof:दिया' posn='480' name='बल' chunkId='NP14' chunkType='head:NP14'>
49	दिया	VM	<fs af='दे,v,m,sg,3,,या_जा+या१_है,yA' drel='ccof:कि' stype='declarative' posn='490' voicetype='passive' vpos='tam_2_3' name='दिया' chunkId='VGF2' chunkType='head:VGF2'>
50	गया	VAUX	<fs af='जा,v,m,sg,3,,या१,yA1' posn='500' drel='lwg__vaux:दिया' chunkType='child:VGF2' name='गया2'>
51	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' posn='510' drel='lwg__vaux:दिया' chunkType='child:VGF2' name='है2'>
52	.	SYM	<fs af='.,punc,,,,,,' drel='rsym:कहा' posn='520' name='.' chunkId='BLK' chunkType='head:BLK'>
</Sentence>


<Sentence id="4">
1	इसके	PRP	<fs af='यह,pn,any,sg,3,o,0_अलावा,ke' drel='sent-adv:की2' posn='10' vpos='vib_2' name='इसके' chunkId='NP' chunkType='head:NP' cref='i21%1:t7' crefHead='इसके:i21' crefType='anaphora-?:i21'>
2	अलावा	PSP	<fs af='अलावा,psp,,,,,,' posn='20' drel='lwg__psp:इसके' chunkType='child:NP' name='अलावा'>
3	इन	DEM	<fs af='यह,pn,any,pl,3,o,,' posn='30' drel='nmod__adj:कक्षाओं' chunkType='child:NP2' name='इन'>
4	कक्षाओं	NN	<fs af='कक्षा,n,f,pl,3,o,0_में,0' drel='k7p:पढ़ने' posn='40' vpos='vib_3' name='कक्षाओं' chunkId='NP2' chunkType='head:NP2'>
5	में	PSP	<fs af='में,psp,,,,,,' posn='50' drel='lwg__psp:कक्षाओं' chunkType='child:NP2' name='में'>
6	पढ़ने	VM	<fs af='पढ,v,any,pl,any,o,ना_वाला,nA' drel='nmod:बच्चों' posn='60' vpos='tam_2' name='पढ़ने' chunkId='VGNN' chunkType='head:VGNN'>
7	वाले	PSP	<fs af='वाला,psp,m,pl,,o,,' posn='70' drel='lwg__psp:पढ़ने' chunkType='child:VGNN' name='वाले'>
8	तीन	QC	<fs af='तीन,num,any,pl,,o,0_से,' drel='rsp:साल' posn='80' vpos='2' name='तीन' chunkId='NP3' chunkType='head:NP3'>
9	से	PSP	<fs af='से,psp,,,,,,' posn='90' drel='lwg__psp:तीन' chunkType='child:NP3' name='से'>
10	आठ	QC	<fs af='आठ,num,any,any,,any,,' posn='100' drel='nmod__adj:साल' chunkType='child:NP4' name='आठ'>
11	साल	NN	<fs af='साल,n,m,sg,3,o,0_तक_का,0' drel='r6:बच्चों' posn='110' vpos='vib_3_4' name='साल' chunkId='NP4' chunkType='head:NP4'>
12	तक	PSP	<fs af='तक,psp,,,,,,' posn='120' drel='lwg__psp:साल' chunkType='child:NP4' name='तक'>
13	के	PSP	<fs af='का,psp,m,pl,,o,,' posn='130' drel='lwg__psp:साल' chunkType='child:NP4' name='के'>
14	बच्चों	NN	<fs af='बच्चा,n,m,pl,3,o,0_को,0' drel='k4:देने' posn='140' vpos='vib_2' name='बच्चों' chunkId='NP5' chunkType='head:NP5'>
15	को	PSP	<fs af='को,psp,,,,,,' posn='150' drel='lwg__psp:बच्चों' chunkType='child:NP5' name='को'>
16	जिहाद	NN	<fs af='जिहाद,n,f,sg,3,o,0,0' drel='ccof:और' posn='160' name='जिहाद' chunkId='NP6' chunkType='head:NP6' cref='i5%1:t2' crefHead='जिहाद:i5' crefType='part-of:i4'>
17	और	CC	<fs af='और,avy,,,,,,' drel='k7:देने' posn='170' name='और' chunkId='CCP' chunkType='head:CCP'>
18	शहादत	NN	<fs af='शहादत,n,f,sg,3,o,0_पर,0' drel='ccof:और' posn='180' vpos='vib_2' name='शहादत' chunkId='NP7' chunkType='head:NP7' cref='i11%1:t3' crefHead='शहादत:i11' crefType='part-of:i10'>
19	पर	PSP	<fs af='पर,psp,,,,,,' posn='190' drel='lwg__psp:शहादत' chunkType='child:NP7' name='पर'>
20	तकरीर	NN	<fs af='तकरीर,n,f,sg,3,d,0,0' drel='pof:देने' posn='200' name='तकरीर' chunkId='NP8' chunkType='head:NP8'>
21	देने	VM	<fs af='दे,v,any,any,any,o,ना_के_लिए,nA' drel='rt:करने' posn='210' vpos='tam_2_3' name='देने' chunkId='VGNN2' chunkType='head:VGNN2'>
22	के	PSP	<fs af='के,psp,,,,,,' posn='220' drel='lwg__psp:देने' chunkType='child:VGNN2' name='के2'>
23	लिए	PSP	<fs af='लिए,psp,,,,,,' posn='230' drel='lwg__psp:देने' chunkType='child:VGNN2' name='लिए'>
24	प्रेरित	JJ	<fs af='प्रेरित,adj,any,any,,,,' drel='pof:करने' posn='240' name='प्रेरित' chunkId='JJP' chunkType='head:JJP'>
25	करने	VM	<fs af='कर,v,any,sg,any,o,ना_का,nA' drel='r6-k2:अनुशंसा' posn='250' vpos='tam_2' name='करने' chunkId='VGNN3' chunkType='head:VGNN3'>
26	की	PSP	<fs af='का,psp,f,sg,,d,,' posn='260' drel='lwg__psp:करने' chunkType='child:VGNN3' name='की'>
27	अनुशंसा	NN	<fs af='अनुशंसा,n,f,sg,3,d,0,0' drel='pof:की2' posn='270' name='अनुशंसा' chunkId='NP9' chunkType='head:NP9'>
28	की	VM	<fs af='कर,v,f,sg,3,,या_जा+या१_है,yA' stype='declarative' posn='280' voicetype='passive' vpos='tam_2_3' name='की2' chunkId='VGF' chunkType='head:VGF'>
29	गई	VAUX	<fs af='जा,v,f,sg,3,,या१,yA1' posn='290' drel='lwg__vaux:की2' chunkType='child:VGF' name='गई'>
30	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' posn='300' drel='lwg__vaux:की2' chunkType='child:VGF' name='है'>
31	.	SYM	<fs af='.,punc,,,,,,' drel='rsym:की2' posn='310' name='.' chunkId='BLK' chunkType='head:BLK'>
</Sentence>


<Sentence id="5">
1	'	SYM	<fs af='SINGLE_QUOTE,punc,,,,,,' ' posn='10' drel='rsym:पाकिस्तानीज' chunkType='child:NP' name=''>
2	एन	NNPC	<fs af='एन,unk,,,,,,' posn='20' drel='pof__cn:स्पेसीज' chunkType='child:NP' name='एन'>
3	इंडेंज्र्ड	NNPC	<fs af='इंडेंज्र्ड,unk,,,,,,' posn='20' drel='pof__cn:स्पेसीज' chunkType='child:NP' name='इंडेंज्र्ड'>
4	स्पेसीज	NNP	<fs af='स्पेसीज,unk,,,,,,' posn='20' drel='nmod__adj:पाकिस्तानीज' chunkType='child:NP' name='स्पेसीज'>
5	:	SYM	<fs af=':,punc,,,,,,' posn='50' drel='rsym:पाकिस्तानीज' chunkType='child:NP' name=':'>
6	हू	NNPC	<fs af='हू,unk,,,,,,' posn='60' drel='pof__cn:पाकिस्तानीज' chunkType='child:NP' name='हू'>
7	इज	NNPC	<fs af='इज,unk,,,,,,' posn='70' drel='pof__cn:पाकिस्तानीज' chunkType='child:NP' name='इज'>
8	गोइंग	NNPC	<fs af='गोइंग,unk,,,,,,' posn='80' drel='pof__cn:पाकिस्तानीज' chunkType='child:NP' name='गोइंग'>
9	टू	NNPC	<fs af='टू,unk,,,,,,' posn='90' drel='pof__cn:पाकिस्तानीज' chunkType='child:NP' name='टू'>
10	सेव	NNPC	<fs af='सेव,unk,,,,,,' posn='100' drel='pof__cn:पाकिस्तानीज' chunkType='child:NP' name='सेव'>
11	मॉडरेट	NNPC	<fs af='मॅडरेट,unk,,,,,,' posn='110' drel='pof__cn:पाकिस्तानीज' chunkType='child:NP' name='मॉडरेट'>
12	पाकिस्तानीज	NNP	<fs af='पाकिस्तानी,n,m,pl,3,o,0,0' drel='rs:शीर्षक' posn='180' comment='probsent' name='पाकिस्तानीज' chunkId='NP' chunkType='head:NP'>
13	'	SYM	<fs af='SINGLE_QUOTE,punc,,,,,,' 2' posn='130' drel='rsym:पाकिस्तानीज' chunkType='child:NP' name=''>
14	(	SYM	<fs af='(,punc,,,,,,' posn='140' drel='rsym:को' chunkType='child:NP2' name='('>
15	खतरे	NNPC	<fs af='खतरा,n,m,sg,3,o,0,0' posn='150' drel='pof__cn:प्रजाति' chunkType='child:NP2' name='खतरे'>
16	में	NNPC	<fs af='में,psp,,,,,,' posn='160' drel='pof__cn:प्रजाति' chunkType='child:NP2' name='में'>
17	एक	NNPC	<fs af='एक,num,any,any,,any,,' posn='170' drel='pof__cn:प्रजाति' chunkType='child:NP2' name='एक'>
18	प्रजाति	NNP	<fs af='प्रजाति,n,f,sg,3,d,0,0' posn='180' drel='nmod__adj:को' chunkType='child:NP2' name='प्रजाति'>
19	:	SYM	<fs af=':,punc,,,,,,' posn='190' drel='rsym:को' chunkType='child:NP2' name=':2'>
20	कौन	NNPC	<fs af='कौन,pn,,,,,,' posn='200' drel='pof__cn:को' chunkType='child:NP2' name='कौन'>
21	बचाएगा	NNPC	<fs af='बचा,n,m,sg,3,d,0,0' posn='180' drel='pof__cn:को' chunkType='child:NP2' name='बचाएगा'>
22	उदारवादी	NNPC	<fs af='उदारवादी,n,m,sg,3,d,0,0' posn='180' drel='pof__cn:को' chunkType='child:NP2' name='उदारवादी'>
23	पाकिस्तानियों	NNPC	<fs af='पाकिस्तानी,n,m,pl,3,o,0,0' posn='230' drel='pof__cn:को' chunkType='child:NP2' name='पाकिस्तानियों'>
24	को	NNP	<fs af='को,psp,,,,,,' drel='rs:पाकिस्तानीज' posn='240' name='को' chunkId='NP2' chunkType='head:NP2'>
25	)	SYM	<fs af='),punc,,,,,,' posn='250' drel='rsym:को' chunkType='child:NP2' name=')'>
26	शीर्षक	NN	<fs af='शीर्षक,n,m,sg,3,o,0_से,0' drel='jjmod:प्रकाशित' posn='260' vpos='vib_2' name='शीर्षक' chunkId='NP3' chunkType='head:NP3'>
27	से	PSP	<fs af='से,psp,,,,,,' posn='270' drel='lwg__psp:शीर्षक' chunkType='child:NP3' name='से'>
28	प्रकाशित	JJ	<fs af='प्रकाशित,adj,any,any,,o,,' drel='nmod:लेख' posn='280' name='प्रकाशित' chunkId='JJP' chunkType='head:JJP'>
29	इस	DEM	<fs af='यह,pn,any,sg,3,o,,' posn='290' drel='nmod__adj:लेख' chunkType='child:NP4' name='इस'>
30	लेख	NN	<fs af='लेख,n,m,sg,3,o,0_में,0' drel='k7:कहा' posn='300' vpos='vib_3' name='लेख' chunkId='NP4' chunkType='head:NP4'>
31	में	PSP	<fs af='में,psp,,,,,,' posn='310' drel='lwg__psp:लेख' chunkType='child:NP4' name='में2'>
32	कहा	VM	<fs af='कह,v,m,sg,3,,या_जा+या१_है,yA' stype='declarative' posn='320' voicetype='passive' vpos='tam_2_3' name='कहा' chunkId='VGF' chunkType='head:VGF'>
33	गया	VAUX	<fs af='जा,v,m,sg,3,,या१,yA1' posn='330' drel='lwg__vaux:कहा' chunkType='child:VGF' name='गया'>
34	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' posn='340' drel='lwg__vaux:कहा' chunkType='child:VGF' name='है'>
35	कि	CC	<fs af='कि,avy,,,,,,' drel='k2:कहा' posn='350' name='कि' chunkId='CCP' chunkType='head:CCP'>
