19	जिन्ना	NNP	<fs af='जिन्ना,n,m,sg,3,o,0_के_बारे_में,0' drel='k7:लिया' posn='190' vpos='vib_4_5_6' name='जिन्ना' chunkId='NP5' chunkType='head:NP5' cref='i6%1:t3' crefHead='जिन्ना:i6' crefType='part-of:i6'>
20	के	PSP	<fs af='के,psp,,,,,,' posn='200' drel='lwg__psp:जिन्ना' chunkType='child:NP5' name='के2'>
21	बारे	PSP	<fs af='बारे,psp,,,,,,' posn='210' drel='lwg__psp:जिन्ना' chunkType='child:NP5' name='बारे'>
22	में	PSP	<fs af='में,psp,,,,,,' posn='220' drel='lwg__psp:जिन्ना' chunkType='child:NP5' name='में'>
23	उनके	PRP	<fs af='वह,pn,m,sg,3h,o,का,kA' drel='r6:संदर्भ' posn='230' name='उनके' chunkId='NP6' chunkType='head:NP6' cref='i43%1:t2' crefHead='उनके:i43'>
24	बयान	NN	<fs af='बयान,n,m,sg,3,o,0_को,0' drel='k2:लिया' posn='240' vpos='vib_2' name='बयान' chunkId='NP7' chunkType='head:NP7'>
25	को	PSP	<fs af='को,psp,,,,,,' posn='250' drel='lwg__psp:बयान' chunkType='child:NP7' name='को'>
26	गलत	JJ	<fs af='गलत,adj,any,any,,o,,' posn='260' drel='nmod__adj:संदर्भ' chunkType='child:NP8' name='गलत'>
27	संदर्भ	NN	<fs af='संदर्भ,n,m,sg,3,o,0_में,0' drel='k7:लिया' posn='270' vpos='vib_3' name='संदर्भ' chunkId='NP8' chunkType='head:NP8'>
28	में	PSP	<fs af='में,psp,,,,,,' posn='280' drel='lwg__psp:संदर्भ' chunkType='child:NP8' name='में2'>
29	लिया	VM	<fs af='ले,v,m,sg,3,,या_जा+या१,yA' drel='ccof:कि' stype='declarative' posn='290' voicetype='passive' vpos='tam_2' name='लिया' chunkId='VGF2' chunkType='head:VGF2'>
30	गया	VAUX	<fs af='जा,v,m,sg,3,,या१,yA1' posn='300' drel='lwg__vaux:लिया' chunkType='child:VGF2' name='गया'>
31	.	SYM	<fs af='.,punc,,,,,,' drel='rsym:कहा' posn='310' name='.' chunkId='BLK' chunkType='head:BLK'>
</Sentence>


<Sentence id="2">
1	उन्होंने	PRP	<fs af='वह,pn,any,sg,3h,o,ने,ne' drel='k1:कहा' posn='10' name='उन्होंने' chunkId='NP' chunkType='head:NP' cref='i46%1:t2' crefHead='उन्होंने:i46'>
2	कहा	VM	<fs af='कह,v,m,sg,3,,या,yA' stype='declarative' posn='20' voicetype='active' name='कहा' chunkId='VGF' chunkType='head:VGF'>
3	कि	CC	<fs af='कि,avy,,,,,,' drel='k2:कहा' posn='30' name='कि' chunkId='CCP' chunkType='head:CCP'>
4	अगर	CC	<fs af='अगर,avy,,,,,,' drel='vmod:मिलती' posn='40' name='अगर' chunkId='CCP2' chunkType='head:CCP2'>
5	उनके	PRP	<fs af='वह,pn,m,sg,3h,o,के,ke' drel='r6:बयान' posn='50' name='उनके' chunkId='NP2' chunkType='head:NP2' cref='i48%1:t2' crefHead='उनके:i48'>
6	बयान	NN	<fs af='बयान,n,m,sg,3,o,0_का,0' drel='r6-k2:अनुपालन' posn='60' vpos='vib_2' name='बयान' chunkId='NP3' chunkType='head:NP3'>
7	का	PSP	<fs af='का,psp,m,sg,,d,,' posn='70' drel='lwg__psp:बयान' chunkType='child:NP3' name='का'>
8	अक्षरशः	RB	<fs af='अक्षरशः,adv,,,,,,' drel='adv:किया' posn='80' name='अक्षरशः' chunkId='RBP' chunkType='head:RBP'>
9	अनुपालन	NN	<fs af='अनुपालन,n,m,sg,3,d,0,0' drel='pof:किया' posn='90' name='अनुपालन' chunkId='NP4' chunkType='head:NP4'>
10	किया	VM	<fs af='कर,v,m,sg,any,,या_जा+या१_हो+ता,yA' drel='ccof:अगर' stype='declarative' posn='100' voicetype='passive' vpos='tam_2_3' name='किया' chunkId='VGF2' chunkType='head:VGF2'>
11	गया	VAUX	<fs af='जा,v,m,sg,3,,या१,yA1' posn='110' drel='lwg__vaux:किया' chunkType='child:VGF2' name='गया'>
12	होता	VAUX	<fs af='हो,v,m,sg,any,,ता,wA' posn='120' drel='lwg__vaux:किया' chunkType='child:VGF2' name='होता'>
13	तो	CC	<fs af='तो,avy,,,,,,' drel='ccof:कि' posn='130' name='तो' chunkId='CCP3' chunkType='head:CCP3'>
14	इससे	PRP	<fs af='यह,pn,any,sg,3,o,से,se' drel='rh:मिलती' posn='140' name='इससे' chunkId='NP5' chunkType='head:NP5' cref='i41%1:t12' crefHead='इससे:i41' crefType='anaphora-?:i41'>
15	पाकिस्तान	NNP	<fs af='पाकिस्तान,n,m,sg,3,o,0,0' drel='ccof:और' posn='150' name='पाकिस्तान' chunkId='NP6' chunkType='head:NP6' cref='i10%1:t4' crefHead='पाकिस्तान:i10' crefType='part-of:i10'>
16	और	CC	<fs af='और,avy,,,,,,' drel='ras-k2:बनाने' posn='160' name='और' chunkId='CCP4' chunkType='head:CCP4'>
17	बांग्लादेश	NNP	<fs af='बांग्लादेश,n,m,sg,3,o,0_के_साथ,0' drel='ccof:और' posn='170' vpos='vib_2_3' name='बांग्लादेश' chunkId='NP7' chunkType='head:NP7'>
18	के	PSP	<fs af='के,psp,,,,,,' posn='180' drel='lwg__psp:बांग्लादेश' chunkType='child:NP7' name='के'>
19	साथ	NST	<fs af='साथ,nst,m,sg,3,d,,' posn='190' drel='lwg__psp:बांग्लादेश' chunkType='child:NP7' name='साथ'>
20	भारत	NNP	<fs af='भारत,n,m,sg,3,o,0_का,0' drel='r6:संबंधों' posn='200' vpos='vib_2' name='भारत' chunkId='NP8' chunkType='head:NP8'>
21	के	PSP	<fs af='का,psp,m,pl,,o,,' posn='210' drel='lwg__psp:भारत' chunkType='child:NP8' name='के2'>
22	संबंधों	NN	<fs af='संबंध,n,m,pl,3,o,0_को,0' drel='k2:बनाने' posn='220' vpos='vib_2' name='संबंधों' chunkId='NP9' chunkType='head:NP9'>
23	को	PSP	<fs af='को,psp,,,,,,' posn='230' drel='lwg__psp:संबंधों' chunkType='child:NP9' name='को'>
24	सामान्य	JJ	<fs af='सामान्य,adj,any,any,,,,' drel='k2s:बनाने' posn='240' name='सामान्य' chunkId='JJP' chunkType='head:JJP'>
25	बनाने	VM	<fs af='बना,v,any,any,any,o,ना_में,nA' drel='k7:मिलती' posn='250' vpos='tam_2' name='बनाने' chunkId='VGNN' chunkType='head:VGNN'>
26	में	PSP	<fs af='में,psp,,,,,,' posn='260' drel='lwg__psp:बनाने' chunkType='child:VGNN' name='में'>
27	मदद	NN	<fs af='मदद,n,f,sg,3,d,0,0' drel='pof:मिलती' posn='270' name='मदद' chunkId='NP10' chunkType='head:NP10'>
28	मिलती	VM	<fs af='मिल,v,f,sg,3,,ता,wA' drel='ccof:तो' stype='declarative' posn='280' voicetype='active' name='मिलती' chunkId='VGF3' chunkType='head:VGF3'>
29	.	SYM	<fs af='.,punc,,,,,,' drel='rsym:कहा' posn='290' name='.' chunkId='BLK' chunkType='head:BLK'>
</Sentence>


<Sentence id="3">
1	उन्होंने	PRP	<fs af='वह,pn,any,sg,3h,o,ने,ne' drel='k1:लगाया' posn='10' name='उन्होंने' chunkId='NP' chunkType='head:NP' cref='i47%1:t2' crefHead='उन्होंने:i47'>
2	यूपीए	NNP	<fs af='यूपीए,n,m,sg,3,d,0,0' posn='20' drel='nmod__adj:सरकार' chunkType='child:NP2' name='यूपीए' cref='i13%0:t5'>
3	सरकार	NN	<fs af='सरकार,n,f,sg,3,o,0_पर,0' drel='k7:लगाया' posn='30' vpos='vib_vib_3' name='सरकार' chunkId='NP2' chunkType='head:NP2' cref='i13%1:t5' crefHead='सरकार:i13' crefType='part-of:i13'>
4	पर	PSP	<fs af='पर,psp,,,,,,' posn='40' drel='lwg__psp:सरकार' chunkType='child:NP2' name='पर'>
5	आरोप	NN	<fs af='आरोप,n,m,sg,3,d,0,0' drel='pof:लगाया' posn='50' name='आरोप' chunkId='NP3' chunkType='head:NP3'>
6	लगाया	VM	<fs af='लगा,v,m,sg,3,,या,yA' stype='declarative' posn='60' voicetype='active' name='लगाया' chunkId='VGF' chunkType='head:VGF'>
7	कि	CC	<fs af='कि,avy,,,,,,' drel='k2:लगाया' posn='70' name='कि' chunkId='CCP' chunkType='head:CCP'>
8	वह	PRP	<fs af='वह,pn,any,sg,3,d,0,0' drel='k1:ले' posn='80' name='वह' chunkId='NP4' chunkType='head:NP4' cref='i42%1:t5' crefHead='वह:i42'>
9	आतंकवाद	NN	<fs af='आतंकवाद,n,m,sg,3,o,0_का,0' drel='r6:खतरे' posn='90' vpos='vib_2' name='आतंकवाद' chunkId='NP5' chunkType='head:NP5'>
10	के	PSP	<fs af='का,psp,m,sg,,o,,' posn='100' drel='lwg__psp:आतंकवाद' chunkType='child:NP5' name='के'>
11	खतरे	NN	<fs af='खतरा,n,m,sg,3,o,0_को,0' drel='k2:ले' posn='110' vpos='vib_2' name='खतरे' chunkId='NP6' chunkType='head:NP6'>
12	को	PSP	<fs af='को,psp,,,,,,' posn='120' drel='lwg__psp:खतरे' chunkType='child:NP6' name='को'>
13	गंभीरता	NN	<fs af='गंभीरता,n,f,sg,3,o,0_से,0' drel='adv:ले' posn='130' vpos='vib_2' name='गंभीरता' chunkId='NP7' chunkType='head:NP7'>
14	से	PSP	<fs af='से,psp,,,,,,' posn='140' drel='lwg__psp:गंभीरता' chunkType='child:NP7' name='से'>
15	नहीं	NEG	<fs af='नहीं,avy,,,,,,' posn='150' drel='lwg__neg:ले' chunkType='child:VGF2' name='नहीं'>
16	ले	VM	<fs af='ले,v,f,sg,3,,0_रह+या_है,0' drel='ccof:कि' stype='declarative' posn='160' voicetype='active' vpos='tam_3_4' name='ले' chunkId='VGF2' chunkType='head:VGF2'>
17	रही	VAUX	<fs af='रह,v,f,sg,3,,या,yA' posn='170' drel='lwg__vaux:ले' chunkType='child:VGF2' name='रही'>
18	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' posn='180' drel='lwg__vaux:ले' chunkType='child:VGF2' name='है'>
19	.	SYM	<fs af='.,punc,,,,,,' drel='rsym:लगाया' posn='190' name='.' chunkId='BLK' chunkType='head:BLK'>
</Sentence>


<Sentence id="4">
1	साथ	NST	<fs af='साथ,nst,m,sg,3,d,,' drel='sent-adv:दिया' posn='10' name='साथ' chunkId='NP' chunkType='head:NP'>
2	ही	RP	<fs af='ही,avy,,,,,,' posn='20' drel='lwg__rp:साथ' chunkType='child:NP' name='ही'>
3	उन्होंने	PRP	<fs af='वह,pn,any,sg,3h,o,ने,ne' drel='k1:दिया' posn='30' name='उन्होंने' chunkId='NP2' chunkType='head:NP2' cref='i45%1:t2' crefHead='उन्होंने:i45'>
4	इस	DEM	<fs af='यह,pn,any,sg,3,o,,' posn='40' drel='nmod__adj:बात' chunkType='child:NP3' name='इस'>
5	बात	NN	<fs af='बात,n,f,sg,3,o,0_पर,0' drel='k7:दिया' posn='50' vpos='vib_3_RP' name='बात' chunkId='NP3' chunkType='head:NP3'>
6	पर	PSP	<fs af='पर,psp,,,,,,' posn='60' drel='lwg__psp:बात' chunkType='child:NP3' name='पर'>
7	भी	RP	<fs af='भी,avy,,,,,,' posn='70' drel='lwg__rp:बात' chunkType='child:NP3' name='भी'>
8	जोर	NN	<fs af='जोर,n,m,sg,3,d,0,0' drel='pof:दिया' posn='80' name='जोर' chunkId='NP4' chunkType='head:NP4'>
9	दिया	VM	<fs af='दे,v,m,sg,3,,या,yA' stype='declarative' posn='90' voicetype='active' name='दिया' chunkId='VGF' chunkType='head:VGF'>
10	कि	CC	<fs af='कि,avy,,,,,,' drel='rs:बात' posn='100' name='कि' chunkId='CCP' chunkType='head:CCP'>
11	पार्टी	NNC	<fs af='पार्टी,n,f,sg,3,d,0,0' posn='110' drel='pof__cn:कार्यकर्ताओं' chunkType='child:NP5' name='पार्टी'>
12	कार्यकर्ताओं	NN	<fs af='कार्यकर्ता,n,m,pl,3,o,0_में,0' drel='k7:है' posn='120' vpos='vib_3' name='कार्यकर्ताओं' chunkId='NP5' chunkType='head:NP5'>
13	में	PSP	<fs af='में,psp,,,,,,' posn='130' drel='lwg__psp:कार्यकर्ताओं' chunkType='child:NP5' name='में'>
14	'1	SYM	<fs af='1,punc,,,,,,' 1' posn='140' drel='rsym:नैतिक' chunkType='child:JJP' name=''>
15	नैतिक	JJ	<fs af='नैतिक,adj,any,any,,o,,' drel='ccof:व' posn='150' name='नैतिक' chunkId='JJP' chunkType='head:JJP'>
16	व	CC	<fs af='व,avy,,,,,,' drel='nmod:प्रधानता' posn='160' name='व' chunkId='CCP2' chunkType='head:CCP2'>
17	आध्यात्मिक	JJ	<fs af='आध्यात्मिक,adj,any,any,,o,,' drel='ccof:व' posn='170' name='आध्यात्मिक' chunkId='JJP2' chunkType='head:JJP2'>
18	प्रधानता	NN	<fs af='प्रधानता,n,f,sg,3,o,0_के_साथ,0' drel='ras-k1:है' posn='180' vpos='vib_2_3' name='प्रधानता' chunkId='NP6' chunkType='head:NP6'>
19	के	PSP	<fs af='के,psp,,,,,,' posn='190' drel='lwg__psp:प्रधानता' chunkType='child:NP6' name='के'>
20	साथ	NST	<fs af='साथ,nst,m,sg,3,d,,' posn='200' drel='lwg__psp:प्रधानता' chunkType='child:NP6' name='साथ2'>
21	-	SYM	<fs af='-,punc,,,,,,' posn='210' drel='rsym:प्रधानता' chunkType='child:NP6' name='-'>
22	साथ	RDP	<fs af='साथ,nst,m,sg,3,d,,' posn='220' drel='pof__redup:-' chunkType='child:NP6' name='साथ3'>
23	भावनात्मक	JJ	<fs af='भावनात्मक,adj,any,any,,o,,' posn='230' drel='nmod__adj:प्रधानता2' chunkType='child:NP7' name='भावनात्मक'>
24	प्रधानता	NN	<fs af='प्रधानता,n,f,sg,3,o,0_का,0' drel='r6:आवश्यकता' posn='240' vpos='vib_4_RP' name='प्रधानता2' chunkId='NP7' chunkType='head:NP7'>
25	'2	SYM	<fs af='2,punc,,,,,,' 2' posn='250' drel='rsym:प्रधानता2' chunkType='child:NP7' name=''>
26	की	PSP	<fs af='का,psp,f,sg,,d,,' posn='260' drel='lwg__psp:प्रधानता2' chunkType='child:NP7' name='की'>
27	भी	RP	<fs af='भी,avy,,,,,,' posn='270' drel='lwg__rp:प्रधानता2' chunkType='child:NP7' name='भी2'>
28	आवश्यकता	NN	<fs af='आवश्यकता,n,f,sg,3,d,0,0' drel='k1:है' posn='280' name='आवश्यकता' chunkId='NP8' chunkType='head:NP8'>
29	है	VM	<fs af='है,v,any,sg,3,,है,hE' drel='ccof:कि' stype='declarative' posn='290' voicetype='active' name='है' chunkId='VGF2' chunkType='head:VGF2'>
30	.	SYM	<fs af='.,punc,,,,,,' drel='rsym:दिया' posn='300' name='.' chunkId='BLK' chunkType='head:BLK'>
</Sentence>


<Sentence id="5">
1	उन्होंने	PRP	<fs af='वह,pn,any,sg,3h,o,ने,ne' drel='k1:कहा' posn='10' name='उन्होंने' chunkId='NP' chunkType='head:NP' cref='i44%1:t2' crefHead='उन्होंने:i44'>
2	कहा	VM	<fs af='कह,v,m,sg,3,,या,yA' stype='declarative' posn='20' voicetype='active' name='कहा' chunkId='VGF' chunkType='head:VGF'>
3	कि	CC	<fs af='कि,avy,,,,,,' drel='k2:कहा' posn='30' name='कि' chunkId='CCP' chunkType='head:CCP'>
4	हाल	NN	<fs af='हाल,n,m,sg,3,o,0_का,0' drel='r6:दिनों' posn='40' vpos='vib_2' name='हाल' chunkId='NP2' chunkType='head:NP2'>
5	के	PSP	<fs af='का,psp,m,pl,,o,,' posn='50' drel='lwg__psp:हाल' chunkType='child:NP2' name='के'>
6	दिनों	NN	<fs af='दिन,n,m,pl,3,o,0_में,0' drel='k7t:होना' posn='60' vpos='vib_2' name='दिनों' chunkId='NP3' chunkType='head:NP3'>
7	में	PSP	<fs af='में,psp,,,,,,' posn='70' drel='lwg__psp:दिनों' chunkType='child:NP3' name='में'>
8	पार्टी	NN	<fs af='पार्टी,n,f,sg,3,o,0_को,0' drel='k1:होना' posn='80' vpos='vib_2' name='पार्टी' chunkId='NP4' chunkType='head:NP4' cref='i40%1:t11' crefHead='पार्टी:i40'>
9	को	PSP	<fs af='को,psp,,,,,,' posn='90' drel='lwg__psp:पार्टी' chunkType='child:NP4' name='को'>
10	जिन	DEM	<fs af='जो,pn,any,pl,3,o,,' posn='100' drel='nmod__adj:समस्याओं' chunkType='child:NP5' name='जिन' cref='i37%0:t10'>
11	समस्याओं	NN	<fs af='समस्या,n,f,pl,3,o,0_से,0' drel='k2:होना' posn='110' coref='NP7:NP8' vpos='vib_3' name='समस्याओं' chunkId='NP5' chunkType='head:NP5' cref='i37%1:t10' crefHead='समस्याओं:i37'>
12	से	PSP	<fs af='से,psp,,,,,,' posn='120' drel='lwg__psp:समस्याओं' chunkType='child:NP5' name='से'>
13	दो	RBC	<fs af='दो,num,any,any,,any,,' posn='130' drel='mod:चार' chunkType='child:RBP' name='दो'>
14	-	SYM	<fs af='-,punc,,,,,,' posn='140' drel='rsym:चार' chunkType='child:RBP' name='-'>
15	चार	RB	<fs af='चार,num,any,any,,any,,' drel='pof:होना' posn='130' name='चार' chunkId='RBP' chunkType='head:RBP'>
16	होना	VM	<fs af='हो,v,m,sg,3,,ना_पड+या_है,nA' drel='nmod__relc:वजह' stype='declarative' posn='160' voicetype='active' vpos='tam_2_3' name='होना' chunkId='VGF2' chunkType='head:VGF2'>
17	पड़ा	VAUX	<fs af='पड,v,m,sg,3,,या,yA' posn='170' drel='lwg__vaux:होना' chunkType='child:VGF2' name='पड़ा'>
18	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' posn='180' drel='lwg__vaux:होना' chunkType='child:VGF2' name='है'>
19	उसकी	PRP	<fs af='वह,pn,f,sg,3,o,का,kA' drel='r6:वजह' posn='190' name='उसकी' chunkId='NP6' chunkType='head:NP6' cref='i38%1:t10' crefHead='उसकी:i38'>
20	वजह	NN	<fs af='वजह,n,f,sg,3,d,0,0' drel='k1:,' posn='200' name='वजह' chunkId='NP7' chunkType='head:NP7'>
21	इसकी	PRP	<fs af='यह,pn,f,sg,3,o,का,kA' drel='r6:खामियां' posn='210' name='इसकी' chunkId='NP8' chunkType='head:NP8' cref='i39%1:t11' crefHead='इसकी:i39'>
22	खामियां	NN	<fs af='खामी,n,f,sg,3,d,0,0' drel='k1s:,' posn='200' name='खामियां' chunkId='NP9' chunkType='head:NP9'>
23	नहीं	NEG	<fs af='नहीं,avy,,,,,,' drel='vmod:,' posn='230' name='नहीं' chunkId='NEGP' chunkType='head:NEGP'>
24	NULL	VM	<fs af=',v,,,,,,' posn='240' drel='lwg__vm:,' chunkType='child:NULL__VGF' name='NULL'>
25	,	SYM	<fs mtype='gap' troot='है' dmrel='ccof:बल्कि' name=',' chunkId='NULL__VGF' chunkType='head:NULL__VGF'>
26	बल्कि	CC	<fs af='बल्कि,avy,,,,,,' drel='ccof:कि' posn='250' name='बल्कि' chunkId='CCP2' chunkType='head:CCP2'>
27	हमारे	PRP	<fs af='हम,pn,m,any,1,any,का,kA' drel='r6:कार्यकर्ताओं' posn='260' name='हमारे' chunkId='NP10' chunkType='head:NP10' cref='i49%1:t2' crefHead='हमारे:i49'>
28	कुछ	QF	<fs af='कुछ,avy,,,,,,' posn='270' drel='nmod__adj:कार्यकर्ताओं' chunkType='child:NP11' name='कुछ'>
29	साथी	NNC	<fs af='साथी,n,m,sg,3,d,0,0' posn='280' drel='pof__cn:कार्यकर्ताओं' chunkType='child:NP11' name='साथी'>
30	कार्यकर्ताओं	NN	<fs af='कार्यकर्ता,n,m,pl,3,o,0_का,0' drel='r6:व्यवहार' posn='290' vpos='vib_4' name='कार्यकर्ताओं' chunkId='NP11' chunkType='head:NP11'>
31	का	PSP	<fs af='का,psp,m,sg,,d,,' posn='300' drel='lwg__psp:कार्यकर्ताओं' chunkType='child:NP11' name='का'>
32	व्यवहार	NN	<fs af='व्यवहार,n,m,sg,3,d,0,0' drel='k1:है2' posn='310' name='व्यवहार' chunkId='NP12' chunkType='head:NP12'>
33	है	VM	<fs af='है,v,any,sg,3,,है,hE' drel='ccof:बल्कि' stype='declarative' posn='320' voicetype='active' name='है2' chunkId='VGF3' chunkType='head:VGF3'>
34	.	SYM	<fs af='.,punc,,,,,,' drel='rsym:कहा' posn='330' name='.' chunkId='BLK' chunkType='head:BLK'>
</Sentence>


<Sentence id="6">
1	शनिवार	NNP	<fs af='शनिवार,n,m,sg,3,o,0_को,0' drel='k7t:किया' posn='10' vpos='vib_2' name='शनिवार' chunkId='NP' chunkType='head:NP'>
2	को	PSP	<fs af='को,psp,,,,,,' posn='20' drel='lwg__psp:शनिवार' chunkType='child:NP' name='को'>
3	मुंबई	NNP	<fs af='मुंबई,n,f,sg,3,o,0_में,0' drel='k7p:किया' posn='30' vpos='vib_2' name='मुंबई' chunkId='NP2' chunkType='head:NP2'>
4	में	PSP	<fs af='में,psp,,,,,,' posn='40' drel='lwg__psp:मुंबई' chunkType='child:NP2' name='में'>
5	भाजपा	NNPC	<fs af='भाजपा,n,m,sg,3,d,0,0' posn='50' drel='pof__cn:महासम्मेलन' chunkType='child:NP3' name='भाजपा' cref='i3%1:t1' crefHead='भाजपा:i3' crefType='part-of:i2'>
6	महासम्मेलन	NNP	<fs af='महासम्मेलन,n,m,sg,3,o,0_का,0' drel='r6:दिन' posn='60' vpos='vib_3' name='महासम्मेलन' chunkId='NP3' chunkType='head:NP3'>
7	के	PSP	<fs af='का,psp,m,sg,,o,,' posn='70' drel='lwg__psp:महासम्मेलन' chunkType='child:NP3' name='के'>
8	अंतिम	JJ	<fs af='अंतिम,adj,any,any,,d,,' posn='80' drel='nmod__adj:दिन' chunkType='child:NP4' name='अंतिम'>
9	दिन	NN	<fs af='दिन,n,m,sg,3,d,0,0' drel='k7t:किया' posn='90' name='दिन' chunkId='NP4' chunkType='head:NP4'>
10	अध्यक्ष	NNC	<fs af='अध्यक्ष,n,m,sg,3,d,0,0' posn='100' drel='pof__cn:पद' chunkType='child:NP5' name='अध्यक्ष'>
11	पद	NN	<fs af='पद,n,m,sg,3,d,0,0' drel='k2:छोड़ने' posn='110' name='पद' chunkId='NP5' chunkType='head:NP5'>
12	छोड़ने	VM	<fs af='छोड,v,any,sg,3,o,ना_के_बाद,nA' drel='k7t:किया' posn='120' vpos='tam_2_3' name='छोड़ने' chunkId='VGNN' chunkType='head:VGNN'>
13	के	PSP	<fs af='के,psp,,,,,,' posn='130' drel='lwg__psp:छोड़ने' chunkType='child:VGNN' name='के2'>
14	बाद	NST	<fs af='बाद,nst,m,sg,3,d,,' posn='140' drel='lwg__nst:छोड़ने' chunkType='child:VGNN' name='बाद'>
15	पत्रकारों	NN	<fs af='पत्रकार,n,m,pl,3,o,0_से,0' drel='nmod:बातचीत' posn='150' vpos='vib_2' name='पत्रकारों' chunkId='NP6' chunkType='head:NP6'>
16	से	PSP	<fs af='से,psp,,,,,,s' posn='160' drel='lwg__psp:पत्रकारों' chunkType='child:NP6' name='से'>
17	बातचीत	NN	<fs af='बातचीत,n,f,sg,3,o,0_में,0' drel='k7:किया' posn='170' vpos='vib_2' name='बातचीत' chunkId='NP7' chunkType='head:NP7'>
18	में	PSP	<fs af='में,psp,,,,,,' posn='180' drel='lwg__psp:बातचीत' chunkType='child:NP7' name='में2'>
